5.2480746025e-04, 7.4366420277e-15, -5.3104284942e-15, 7.4251526326e-15, -5.3036804519e-15, 3.8187070159e-29, -1.9093535080e-29
5.4954087386e-04, 8.5396035055e-15, -6.0978929847e-15, 8.5252158853e-15, -6.0894399181e-15, 3.9986771330e-29, -1.9993385665e-29
5.7543993734e-04, 9.8062809816e-15, -7.0022042613e-15, 9.7882574928e-15, -6.9916124948e-15, 4.1871289804e-29, -2.0935644902e-29
6.0255958607e-04, 1.1261009618e-14, -8.0407204613e-15, 1.1238423288e-14, -8.0274452060e-15, 4.3844622898e-29, -2.1922311449e-29
6.3095734448e-04, 1.2931750630e-14, -9.2333835806e-15, 1.2903436399e-14, -9.2167402847e-15, 4.5910956315e-29, -2.2955478157e-29
6.6069344801e-04, 1.4850634334e-14, -1.0603105467e-14, 1.4815127231e-14, -1.0582233736e-14, 4.8074673026e-29, -2.4037336513e-29
6.9183097092e-04, 1.7054584219e-14, -1.2176211828e-14, 1.7010041983e-14, -1.2150029988e-14, 5.0340362563e-29, -2.5170181282e-29
7.2443596007e-04, 1.9585528377e-14, -1.3982953078e-14, 1.9530141305e-14, -1.3950100932e-14, 5.2712830759e-29, -2.6356415380e-29
7.5857757503e-04, 2.2493210186e-14, -1.6058092181e-14, 2.2423602467e-14, -1.6016858905e-14, 5.5197109937e-29, -2.7598554968e-29
7.9432823472e-04, 2.5833233054e-14, -1.8441591347e-14, 2.5745740380e-14, -1.8389814557e-14, 5.7798469584e-29, -2.8899234792e-29
8.3176377110e-04, 2.9670055928e-14, -2.1179352889e-14, 2.9560065055e-14, -2.1114332182e-14, 6.0522427536e-29, -3.0261213768e-29
8.7096358996e-04, 3.4077793684e-14, -2.4323536403e-14, 3.3939495745e-14, -2.4242496960e-14, 6.3374761670e-29, -3.1687380835e-29
9.1201083936e-04, 3.9141675755e-14, -2.7936032215e-14, 3.8967754951e-14, -2.7834110679e-14, 6.6361522170e-29, -3.3180761085e-29
9.5499258602e-04, 4.4959729129e-14, -3.2086035051e-14, 4.4740968969e-14, -3.1957834978e-14, 6.9489044357e-29, -3.4744522178e-29
1.0000000000e-03, 5.1644718147e-14, -3.6853779565e-14, 5.1369505551e-14, -3.6692503965e-14, 7.2763962123e-29, -3.6381981061e-29
1.0471285481e-03, 5.9326385573e-14, -4.2331545253e-14, 5.8980083832e-14, -4.2128631309e-14, 7.6193222008e-29, -3.8096611004e-29
1.0964781961e-03, 6.8154040879e-14, -4.8625482735e-14, 6.7718196848e-14, -4.8370140606e-14, 7.9784097932e-29, -3.9892048966e-29
1.1481536215e-03, 7.8299550102e-14, -5.5857721694e-14, 7.7750892953e-14, -5.5536352109e-14, 8.3544206626e-29, -4.1772103313e-29
1.2022644346e-03, 8.9960795743e-14, -6.4168805411e-14, 8.9269969318e-14, -6.3764263799e-14, 8.7481523782e-29, -4.3740761891e-29
1.2589254118e-03, 1.0336567798e-13, -7.3720503999e-14, 1.0249563856e-13, -7.3211170403e-14, 9.1604400979e-29, -4.5802200490e-29
1.3182567386e-03, 1.1877675433e-13, -8.4699067521e-14, 1.1768073860e-13, -8.4057670432e-14, 9.5921583392e-29, -4.7960791696e-29
1.3803842646e-03, 1.3649661264e-13, -9.7318990445e-14, 1.3511556621e-13, -9.6511118721e-14, 1.0044222834e-28, -5.0221114172e-29
1.4454397707e-03, 1.5687006464e-13, -1.1182737149e-13, 1.5513342666e-13, -1.1080959047e-13, 1.0517592473e-28, -5.2587962365e-29
1.5135612484e-03, 1.8030720915e-13, -1.2850896782e-13, 1.7811700564e-13, -1.2722643260e-13, 1.1013271335e-28, -5.5066356676e-29
1.5848931925e-03, 2.0726871740e-13, -1.4769214261e-13, 2.0450568507e-13, -1.4607548934e-13, 1.1532310822e-28, -5.7661554112e-29
1.6595869074e-03, 2.3829096638e-13, -1.6975539173e-13, 2.3480394293e-13, -1.6771710210e-13, 1.2075811887e-28, -6.0379059436e-29
1.7378008287e-03, 2.7399473463e-13, -1.9513074260e-13, 2.6959099742e-13, -1.9256499816e-13, 1.2644927368e-28, -6.3224636840e-29
1.8197008586e-03, 3.1509632182e-13, -2.2433293424e-13, 3.0953188001e-13, -2.2109420001e-13, 1.3240864435e-28, -6.6204322175e-29
1.9054607180e-03, 3.6242679092e-13, -2.5794356962e-13, 3.5539014901e-13, -2.5385010643e-13, 1.3864887151e-28, -6.9324435754e-29
1.9952623150e-03, 4.1693455623e-13, -2.9663381942e-13, 4.0804248663e-13, -2.9145891902e-13, 1.4518319151e-28, -7.2591595756e-29
2.0892961309e-03, 4.7974142390e-13, -3.4117440577e-13, 4.6849545874e-13, -3.3463961339e-13, 1.5202546453e-28, -7.6012732264e-29
2.1877616239e-03, 5.9979828757e-13, -3.9247458126e-13, 5.3790475761e-13, -3.8421768401e-13, 1.5919020394e-28, -7.9595101969e-29
2.2908676528e-03, 8.0984803279e-13, -4.5164532786e-13, 6.1759729547e-13, -4.4114092534e-13, 1.6669260711e-28, -8.3346303557e-29
2.3988329190e-03, 1.3313245305e-12, -5.1997629251e-13, 7.0909657142e-13, -5.0649755102e-13, 1.7454858766e-28, -8.7274293829e-29
2.5118864315e-03, 2.7893125216e-12, -5.9925017425e-13, 8.1415179647e-13, -5.8153699748e-13, 1.8277480916e-28, -9.1387404579e-29
2.6302679919e-03, 6.9518508584e-12, -6.9226827686e-13, 9.3477133357e-13, -6.6769380969e-13, 1.9138872053e-28, -9.5694360267e-29
2.7542287033e-03, 1.8555126162e-11, -8.0434065823e-13, 1.0732610919e-12, -7.6661506565e-13, 2.0040859305e-28, -1.0020429652e-28
2.8840315031e-03, 4.9635967420e-11, -9.4724787058e-13, 1.2322686095e-12, -8.8019186392e-13, 2.0985355905e-28, -1.0492677953e-28
3.0199517204e-03, 1.2927649042e-10, -1.1490492314e-12, 1.4148336666e-12, -1.0105954762e-12, 2.1974365260e-28, -1.0987182630e-28
3.1622776602e-03, 3.2442935831e-10, -1.4775854961e-12, 1.6244463982e-12, -1.1603188558e-12, 2.3009985189e-28, -1.1504992594e-28
3.3113112148e-03, 7.8224947971e-10, -2.0937431522e-12, 1.8651140150e-12, -1.3322242964e-12, 2.4094412381e-28, -1.2047206191e-28
3.4673685045e-03, 1.8121612251e-09, -3.3676514455e-12, 2.1414374108e-12, -1.5295981506e-12, 2.5229947053e-28, -1.2614973526e-28
3.6307805477e-03, 4.0379811938e-09, -6.1204479611e-12, 2.4586991184e-12, -1.7562136560e-12, 2.6418997825e-28, -1.3209498912e-28
3.8018939632e-03, 8.6675467020e-09, -1.2108146137e-11, 2.8229642970e-12, -2.0164030693e-12, 2.7664086833e-28, -1.3832043417e-28
3.9810717055e-03, 1.7950798437e-08, -2.4951229792e-11, 3.2411966809e-12, -2.3151404864e-12, 2.8967855079e-28, -1.4483927539e-28
4.1686938347e-03, 3.5927955669e-08, -5.1855324447e-11, 3.7213917072e-12, -2.6581369337e-12, 3.0333068029e-28, -1.5166534014e-28
4.3651583224e-03, 6.9603682924e-08, -1.0668337327e-10, 4.2727293656e-12, -3.0519495469e-12, 3.1762621483e-28, -1.5881310742e-28
4.5708818961e-03, 1.3072242655e-07, -2.1525660743e-10, 4.9057496948e-12, -3.5041069249e-12, 3.3259547716e-28, -1.6629773858e-28
4.7863009232e-03, 2.3835722650e-07, -4.2420912311e-10, 5.6325542783e-12, -4.0232530559e-12, 3.4827021909e-28, -1.7413510954e-28
5.0118723363e-03, 4.2255500483e-07, -8.1534127873e-10, 6.4670375929e-12, -4.6193125663e-12, 3.6468368884e-28, -1.8234184442e-28
5.2480746025e-03, 7.2930127841e-07, -1.5281556372e-09, 7.4251526326e-12, -5.3036804519e-12, 3.8187070159e-28, -1.9093535080e-28
5.4954087386e-03, 1.2270621239e-06, -2.7944466351e-09, 8.5252158853e-12, -6.0894399181e-12, 3.9986771330e-28, -1.9993385665e-28
5.7543993734e-03, 2.0151442558e-06, -4.9898913613e-09, 9.7882574928e-12, -6.9916124948e-12, 4.1871289804e-28, -2.0935644902e-28
6.0255958607e-03, 3.2340537066e-06, -8.7090041880e-09, 1.1238423288e-11, -8.0274452060e-12, 4.3844622898e-28, -2.1922311449e-28
6.3095734448e-03, 5.0779748410e-06, -1.4872396090e-08, 1.2903436399e-11, -9.2167402847e-12, 4.5910956315e-28, -2.2955478157e-28
6.6069344801e-03, 7.8093774337e-06, -2.4876455598e-08, 1.4815127231e-11, -1.0582233736e-11, 4.8074673026e-28, -2.4037336513e-28
6.9183097092e-03, 1.1775678721e-05, -4.0797811528e-08, 1.7010041983e-11, -1.2150029988e-11, 5.0340362563e-28, -2.5170181282e-28
7.2443596007e-03, 1.7427777800e-05, -6.5670399713e-08, 1.9530141305e-11, -1.3950100932e-11, 5.2712830759e-28, -2.6356415380e-28
7.5857757503e-03, 2.5340207906e-05, -1.0385327429e-07, 2.2423602467e-11, -1.6016858905e-11, 5.5197109937e-28, -2.7598554968e-28
7.9432823472e-03, 3.6231995102e-05, -1.6151431020e-07, 2.5745740380e-11, -1.8389814557e-11, 5.7798469584e-28, -2.8899234792e-28
8.3176377110e-03, 5.0991403262e-05, -2.4726023723e-07, 2.9560065055e-11, -2.1114332182e-11, 6.0522427536e-28, -3.0261213768e-28
8.7096358996e-03, 7.0696192360e-05, -3.7295199656e-07, 3.3939495745e-11, -2.4242496960e-11, 6.3374761670e-28, -3.1687380835e-28
9.1201083936e-03, 9.6639690912e-05, -5.5475673970e-07, 3.8967754951e-11, -2.7834110679e-11, 6.6361522170e-28, -3.3180761085e-28
9.5499258602e-03, 1.3035747713e-04, -8.1450686740e-07, 4.4740968969e-11, -3.1957834978e-11, 6.9489044357e-28, -3.4744522178e-28
1.0000000000e-02, 1.7364637353e-04, -1.1814705620e-06, 5.1369505551e-11, -3.6692503965e-11, 7.2763962123e-28, -3.6381981061e-28
