1.0000000000e-04, 2.7253765525e-11, -3.6690578058e-17, 2.7248169163e-11, -3.6692503965e-17, 7.2763962123e-30, -3.6381981061e-30
1.0471285481e-04, 3.1291711341e-11, -4.2128024185e-17, 3.1285084104e-11, -4.2128631309e-17, 7.6193222008e-30, -3.8096611004e-30
1.0964781961e-04, 3.5927945205e-11, -4.8371329084e-17, 3.5920082613e-11, -4.8370140606e-17, 7.9784097932e-30, -3.9892048966e-30
1.1481536215e-04, 4.1251118950e-11, -5.5539943332e-17, 4.1241772936e-11, -5.5536352109e-17, 8.3544206626e-30, -4.1772103313e-30
1.2022644346e-04, 4.7363022013e-11, -6.3771026257e-17, 4.7351890953e-11, -6.3764263799e-17, 8.7481523782e-30, -4.3740761891e-30
1.2589254118e-04, 5.4379689347e-11, -7.3222075696e-17, 5.4367245083e-11, -7.3211170403e-17, 9.1604400979e-30, -4.5802200490e-30
1.3182567386e-04, 6.2437370545e-11, -8.4073945783e-17, 6.2421949333e-11, -8.4057670432e-17, 9.5921583392e-30, -4.7960791696e-30
1.3803842646e-04, 7.1689047311e-11, -9.6505668451e-17, 7.1669987187e-11, -9.6511118721e-17, 1.0044222834e-29, -5.0221114172e-30
1.4454397707e-04, 8.2311623221e-11, -1.1081023537e-16, 8.2288155342e-11, -1.1080959047e-16, 1.0517592473e-29, -5.2587962365e-30
1.5135612484e-04, 9.4508215128e-11, -1.2723535022e-16, 9.4479443562e-11, -1.2722643260e-16, 1.1013271335e-29, -5.5066356676e-30
1.5848931925e-04, 1.0850937050e-10, -1.4609544921e-16, 1.0847691528e-10, -1.4607548934e-16, 1.1532310822e-29, -5.7661554112e-30
1.6595869074e-04, 1.2458721934e-10, -1.6775162442e-16, 1.2454816313e-10, -1.6771710210e-16, 1.2075811887e-29, -6.0379059436e-30
1.7378008287e-04, 1.4304923084e-10, -1.9261854783e-16, 1.4300042455e-10, -1.9256499816e-16, 1.2644927368e-29, -6.3224636840e-30
1.8197008586e-04, 1.6424570907e-10, -2.2117253932e-16, 1.6418645532e-10, -2.2109420001e-16, 1.3240864435e-29, -6.6204322175e-30
