1.0000000000e-06, 3.0184428254e-11, -1.5131797541e-11, 1.8577164231e-13, -1.3269403022e-13
1.0964781961e-06, 3.3137799936e-11, -1.6621125279e-11, 2.4489471930e-13, -1.7492479950e-13
1.2022644346e-06, 3.6389190990e-11, -1.8263489876e-11, 3.2283411396e-13, -2.3059579568e-13
1.3182567386e-06, 3.9971546800e-11, -2.0076680405e-11, 4.2557824616e-13, -3.0398446154e-13
1.4454397707e-06, 4.3922304721e-11, -2.2081073082e-11, 5.6102139078e-13, -4.0072956485e-13
1.5848931925e-06, 4.8284333868e-11, -2.4300290217e-11, 7.3957022887e-13, -5.2826444920e-13
1.7378008287e-06, 5.3106758307e-11, -2.6761915386e-11, 9.7494343785e-13, -6.9638816989e-13
1.9054607180e-06, 5.8446656132e-11, -2.9498306203e-11, 1.2852257567e-12, -9.1801839761e-13
2.0892961309e-06, 6.4370528730e-11, -3.2547871729e-11, 1.6942575143e-12, -1.2101839388e-12
2.2908676528e-06, 7.0956694988e-11, -3.5956473412e-11, 2.2334663850e-12, -1.5953331322e-12
2.5118864315e-06, 7.8297895706e-11, -3.9779323715e-11, 2.9442821124e-12, -2.1030586517e-12
2.7542287033e-06, 8.6504949052e-11, -4.4083667862e-11, 3.8813197349e-12, -2.7723712392e-12
3.0199517204e-06, 9.5711742040e-11, -4.8951668693e-11, 5.1165758950e-12, -3.6546970679e-12
3.3113112148e-06, 1.0608072627e-10, -5.4485080451e-11, 6.7449606520e-12, -4.8178290371e-12
3.6307805477e-06, 1.1781125979e-10, -6.0810338932e-11, 8.8915898308e-12, -6.3511355934e-12
3.9810717055e-06, 1.3114977489e-10, -6.8085962030e-11, 1.1721398211e-11, -8.3724272935e-12
4.3651583224e-06, 1.4640273073e-10, -7.6511828210e-11, 1.5451812177e-11, -1.1037008698e-11
4.7863009232e-06, 1.6395486709e-10, -8.6341657075e-11, 2.0369455525e-11, -1.4549611089e-11
5.2480746025e-06, 1.8429125397e-10, -9.7898952512e-11, 2.6852172007e-11, -1.9180122862e-11
5.7543993734e-06, 2.0802749359e-10, -1.1159840925e-10, 3.5398056693e-11, -2.5284326209e-11
6.3095734448e-06, 2.3594965690e-10, -1.2797356706e-10, 4.6663726767e-11, -3.3331233405e-11
6.9183097092e-06, 2.6876504881e-10, -1.4771344500e-10, 6.1514772256e-11, -4.3939123040e-11
7.5857757503e-06, 3.0867482142e-10, -1.7171095656e-10, 8.1092263048e-11, -5.7923045034e-11
8.3176377110e-06, 3.5644286188e-10, -2.0089931527e-10, 1.0690042221e-10, -7.6357444434e-11
9.1201083936e-06, 4.1454442928e-10, -2.3722451133e-10, 1.4092220193e-10, -1.0065871566e-10
1.0000000000e-05, 4.8579799918e-10, -2.8271037086e-10, 1.8577164231e-10, -1.3269403022e-10
1.0964781961e-05, 5.7387139947e-10, -3.3942004390e-10, 2.4489471930e-10, -1.7492479950e-10
1.2022644346e-05, 6.8355818975e-10, -4.1096768305e-10, 3.2283411396e-10, -2.3059579568e-10
1.3182567386e-05, 8.2111471318e-10, -5.0176495360e-10, 4.2557824616e-10, -3.0398446154e-10
1.4454397707e-05, 9.9473147245e-10, -6.1760210166e-10, 5.6102139078e-10, -4.0072956485e-10
1.5848931925e-05, 1.2151414031e-09, -7.6607460237e-10, 7.3957022887e-10, -5.2826444920e-10
1.7378008287e-05, 1.4964216228e-09, -9.5716175403e-10, 9.7494343785e-10, -6.9638816989e-10
1.9054607180e-05, 1.8570561444e-09, -1.2039781864e-09, 1.2852257567e-09, -9.1801839761e-10
2.0892961309e-05, 2.3213201488e-09, -1.5237745812e-09, 1.6942575143e-09, -1.2101839388e-09
2.2908676528e-05, 2.9211288600e-09, -1.9392397794e-09, 2.2334663850e-09, -1.5953331322e-09
2.5118864315e-05, 3.6948921261e-09, -2.4802456983e-09, 2.9442821124e-09, -2.1030586517e-09
2.7542287033e-05, 4.7085137774e-09, -3.1860941335e-09, 3.8813197349e-09, -2.7723712392e-09
3.0199517204e-05, 6.0238673717e-09, -4.1086235246e-09, 5.1165758950e-09, -3.6546970679e-09
3.3113112148e-05, 7.7401012647e-09, -5.3158610498e-09, 6.7449606520e-09, -4.8178290371e-09
3.6307805477e-05, 9.9832786098e-09, -6.8976852387e-09, 8.8915898308e-09, -6.3511355934e-09
3.9810717055e-05, 1.2919227147e-08, -8.9722431403e-09, 1.1721398211e-08, -8.3724272935e-09
4.3651583224e-05, 1.6766505087e-08, -1.1695696032e-08, 1.5451812177e-08, -1.1037008698e-08
4.7863009232e-05, 2.1813009870e-08, -1.5273311618e-08, 2.0369455525e-08, -1.4549611089e-08
5.2480746025e-05, 2.8438202329e-08, -1.9976036965e-08, 2.6852172007e-08, -1.9180122862e-08
5.7543993734e-05, 3.7142370888e-08, -2.6160744030e-08, 3.5398056693e-08, -2.5284326209e-08
6.3095734448e-05, 4.8583556132e-08, -3.4297899918e-08, 4.6663726767e-08, -3.3331233405e-08
6.9183097092e-05, 6.3630016375e-08, -4.5008329216e-08, 6.1514772256e-08, -4.3939123040e-08
7.5857757503e-05, 8.3428137154e-08, -5.9108941985e-08, 8.1092263048e-08, -5.7923045034e-08
8.3176377110e-05, 1.0948763843e-07, -7.7677648328e-08, 1.0690042221e-07, -7.6357444434e-08
9.1201083936e-05, 1.4380013279e-07, -1.0213875359e-07, 1.4092220193e-07, -1.0065871566e-07
1.0000000000e-04, 1.8899189730e-07, -1.3436788418e-07, 1.8577164231e-07, -1.3269403022e-07
