1.0000000000e-08,  1.7849972518e-10, 1.7849972518e-10, 1.0166117161e-25
1.0027669230e-08,  1.7899362018e-10, 1.7899362018e-10, 1.0250737458e-25
1.0055415019e-08,  1.7948888174e-10, 1.7948888174e-10, 1.0336062113e-25
1.0083237578e-08,  1.7998551366e-10, 1.7998551366e-10, 1.0422096990e-25
1.0111137120e-08,  1.8048351971e-10, 1.8048351971e-10, 1.0508848001e-25
1.0139113857e-08,  1.8098290372e-10, 1.8098290372e-10, 1.0596321106e-25
1.0167168005e-08,  1.8148366947e-10, 1.8148366947e-10, 1.0684522316e-25
1.0195299776e-08,  1.8198582081e-10, 1.8198582081e-10, 1.0773457692e-25
1.0223509385e-08,  1.8248936156e-10, 1.8248936156e-10, 1.0863133344e-25
1.0251797048e-08,  1.8299429558e-10, 1.8299429558e-10, 1.0953555434e-25
1.0280162981e-08,  1.8350062670e-10, 1.8350062670e-10, 1.1044730176e-25
1.0308607401e-08,  1.8400835880e-10, 1.8400835880e-10, 1.1136663835e-25
1.0337130524e-08,  1.8451749576e-10, 1.8451749576e-10, 1.1229362727e-25
1.0365732568e-08,  1.8502804147e-10, 1.8502804147e-10, 1.1322833222e-25
1.0394413751e-08,  1.8553999981e-10, 1.8553999981e-10, 1.1417081743e-25
1.0423174294e-08,  1.8605337470e-10, 1.8605337470e-10, 1.1512114766e-25
1.0452014415e-08,  1.8656817006e-10, 1.8656817006e-10, 1.1607938820e-25
1.0480934334e-08,  1.8708438982e-10, 1.8708438982e-10, 1.1704560491e-25
1.0509934272e-08,  1.8760203792e-10, 1.8760203792e-10, 1.1801986417e-25
1.0539014451e-08,  1.8812111832e-10, 1.8812111832e-10, 1.1900223293e-25
1.0568175092e-08,  1.8864163496e-10, 1.8864163496e-10, 1.1999277869e-25
1.0597416419e-08,  1.8916359184e-10, 1.8916359184e-10, 1.2099156952e-25
1.0626738654e-08,  1.8968699294e-10, 1.8968699294e-10, 1.2199867403e-25
1.0656142022e-08,  1.9021184224e-10, 1.9021184224e-10, 1.2301416144e-25
1.0685626746e-08,  1.9073814376e-10, 1.9073814376e-10, 1.2403810152e-25
1.0715193052e-08,  1.9126590151e-10, 1.9126590151e-10, 1.2507056463e-25
1.0744841166e-08,  1.9179511954e-10, 1.9179511954e-10, 1.2611162172e-25
1.0774571315e-08,  1.9232580186e-10, 1.9232580186e-10, 1.2716134431e-25
1.0804383724e-08,  1.9285795255e-10, 1.9285795255e-10, 1.2821980453e-25
1.0834278622e-08,  1.9339157565e-10, 1.9339157565e-10, 1.2928707513e-25
1.0864256236e-08,  1.9392667525e-10, 1.9392667525e-10, 1.3036322942e-25
1.0894316797e-08,  1.9446325543e-10, 1.9446325543e-10, 1.3144834137e-25
1.0924460532e-08,  1.9500132028e-10, 1.9500132028e-10, 1.3254248552e-25
1.0954687673e-08,  1.9554087392e-10, 1.9554087392e-10, 1.3364573706e-25
1.0984998451e-08,  1.9608192046e-10, 1.9608192046e-10, 1.3475817180e-25
1.1015393095e-08,  1.9662446403e-10, 1.9662446403e-10, 1.3587986618e-25
1.1045871840e-08,  1.9716850878e-10, 1.9716850878e-10, 1.3701089727e-25
1.1076434917e-08,  1.9771405887e-10, 1.9771405887e-10, 1.3815134279e-25
1.1107082559e-08,  1.9826111844e-10, 1.9826111844e-10, 1.3930128110e-25
1.1137815001e-08,  1.9880969169e-10, 1.9880969169e-10, 1.4046079122e-25
1.1168632478e-08,  1.9935978280e-10, 1.9935978280e-10, 1.4162995282e-25
1.1199535224e-08,  1.9991139597e-10, 1.9991139597e-10, 1.4280884624e-25
1.1230523475e-08,  2.0046453540e-10, 2.0046453540e-10, 1.4399755248e-25
1.1261597469e-08,  2.0101920534e-10, 2.0101920534e-10, 1.4519615323e-25
1.1292757442e-08,  2.0157541000e-10, 2.0157541000e-10, 1.4640473084e-25
1.1324003632e-08,  2.0213315364e-10, 2.0213315364e-10, 1.4762336835e-25
1.1355336278e-08,  2.0269244051e-10, 2.0269244051e-10, 1.4885214951e-25
1.1386755620e-08,  2.0325327488e-10, 2.0325327488e-10, 1.5009115874e-25
1.1418261895e-08,  2.0381566104e-10, 2.0381566104e-10, 1.5134048119e-25
1.1449855347e-08,  2.0437960328e-10, 2.0437960328e-10, 1.5260020270e-25
1.1481536215e-08,  2.0494510591e-10, 2.0494510591e-10, 1.5387040982e-25
1.1513304742e-08,  2.0551217323e-10, 2.0551217323e-10, 1.5515118984e-25
1.1545161169e-08,  2.0608080959e-10, 2.0608080959e-10, 1.5644263076e-25
1.1577105741e-08,  2.0665101932e-10, 2.0665101932e-10, 1.5774482132e-25
1.1609138701e-08,  2.0722280678e-10, 2.0722280678e-10, 1.5905785100e-25
1.1641260294e-08,  2.0779617633e-10, 2.0779617633e-10, 1.6038181002e-25
1.1673470765e-08,  2.0837113235e-10, 2.0837113235e-10, 1.6171678936e-25
1.1705770360e-08,  2.0894767923e-10, 2.0894767923e-10, 1.6306288074e-25
1.1738159325e-08,  2.0952582137e-10, 2.0952582137e-10, 1.6442017666e-25
1.1770637908e-08,  2.1010556318e-10, 2.1010556318e-10, 1.6578877038e-25
1.1803206357e-08,  2.1068690909e-10, 2.1068690909e-10, 1.6716875594e-25
1.1835864920e-08,  2.1126986355e-10, 2.1126986355e-10, 1.6856022817e-25
1.1868613846e-08,  2.1185443099e-10, 2.1185443099e-10, 1.6996328268e-25
1.1901453387e-08,  2.1244061589e-10, 2.1244061589e-10, 1.7137801587e-25
1.1934383792e-08,  2.1302842271e-10, 2.1302842271e-10, 1.7280452496e-25
